Assessment Name,URL,Category,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Duration,Cleaned Description,cleaned_full_text
Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,Pre-packaged Job Solutions,No,No,"P, C, B","Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English International, German, Portuguese, Spanish, Norwegian, Swedish, Dutch, French, English (USA)
 “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".","Supervisor, Front Line Manager,",29,supervisor solution designed candidate applying entrylevel leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning employee specific duty coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate prioritizing multiple task priority making daytoday decision minimal guidance others report language availability english international german portuguese spanish norwegian swedish dutch french english usa important please note need select correct package depending norm intend use package available product international america,Supervisor 7.1 (International). supervisor solution designed candidate applying entrylevel leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning employee specific duty coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate prioritizing multiple task priority making daytoday decision minimal guidance others report language availability english international german portuguese spanish norwegian swedish dutch french english usa important please note need select correct package depending norm intend use package available product international america
Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Support Associate solution is designed for entry-level positions that involve little to no interaction with customers. The solution covers a wide variety of support positions in the hospitality industry, and sample tasks may include: food preparation, dishwashing, and/or cleaning. Potential job titles that use this solutin are: Janitor, Food Prep, Laundry Associate and Dishwasher. Multiple configurations of this solution are available.","Entry-Level,",38,support associate solution designed entrylevel position involve little interaction customer solution cover wide variety support position hospitality industry sample task may include food preparation dishwashing andor cleaning potential job title use solutin janitor food prep laundry associate dishwasher multiple configuration solution available,Support Associate Solution. support associate solution designed entrylevel position involve little interaction customer solution cover wide variety support position hospitality industry sample task may include food preparation dishwashing andor cleaning potential job title use solutin janitor food prep laundry associate dishwasher multiple configuration solution available
Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,Pre-packaged Job Solutions,No,Yes,"A, P, S, B","The Support Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly employees in non-customer facing support positions (e.g. Janitors, Laundry Workers, Grounds Crew). Individuals in these roles may perform many of the duties of the employees they supervise. Sample tasks may include: assigning work tasks, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. Potential job titles that use this solution are: Head Custodian, Maintenance Supervisor, Buildings and Grounds Supervisor, Facilities Manager, Housekeeping Supervisor, Building and Grounds Director and Housekeepig Director. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,",39,support supervisor solution designed entrylevel leadership position hospitality industry oversee hourly employee noncustomer facing support position eg janitor laundry worker ground crew individual role may perform many duty employee supervise sample task may include assigning work task taking corrective action employee performing poorly monitoring employee assess satisfactory completion task potential job title use solution head custodian maintenance supervisor building ground supervisor facility manager housekeeping supervisor building ground director housekeepig director multiple configuration solution available,Support Supervisor Solution. support supervisor solution designed entrylevel leadership position hospitality industry oversee hourly employee noncustomer facing support position eg janitor laundry worker ground crew individual role may perform many duty employee supervise sample task may include assigning work task taking corrective action employee performing poorly monitoring employee assess satisfactory completion task potential job title use solution head custodian maintenance supervisor building ground supervisor facility manager housekeeping supervisor building ground director housekeepig director multiple configuration solution available
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,Pre-packaged Job Solutions,No,No,"A, B, P","The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires substantial knowledge about the products and have their pay and/or performance based on sales revenue.  Sample tasks for these jobs include, but are not limited to: obtaining detailed product information, promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.  Potential job titles that use this solution are: Sales Representative, Retail Sales Associate, and Sales Clerk. Multiple configurations of this solution are available.","Entry-Level,",41,technical sale associate solution entrylevel retail position employee proactively sell specific line product requires substantial knowledge product pay andor performance based sale revenue sample task job include limited obtaining detailed product information promoting product customer persuading customer buy product completing transaction customer potential job title use solution sale representative retail sale associate sale clerk multiple configuration solution available,Technical Sales Associate Solution. technical sale associate solution entrylevel retail position employee proactively sell specific line product requires substantial knowledge product pay andor performance based sale revenue sample task job include limited obtaining detailed product information promoting product customer persuading customer buy product completing transaction customer potential job title use solution sale representative retail sale associate sale clerk multiple configuration solution available
Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Technician/Technologist solution is for positions in a healthcare environment that perform medical tests to aide in the treatment of patients.  Sample tasks for this job include, but are not limited to: collecting samples of bodily fluids, completing x-rays on patients, conducting analysis using medical machines, and entering results of medical tests into a computer.  Potential job titles that use this solutionare: Radiologic Technician, Medical Technologist/Technician, and Laboratory Technologist.  Multiple configurations of this solution are available.","Mid-Professional,",52,techniciantechnologist solution position healthcare environment perform medical test aide treatment patient sample task job include limited collecting sample bodily fluid completing xrays patient conducting analysis using medical machine entering result medical test computer potential job title use solutionare radiologic technician medical technologisttechnician laboratory technologist multiple configuration solution available,Technician/Technologist Solution. techniciantechnologist solution position healthcare environment perform medical test aide treatment patient sample task job include limited collecting sample bodily fluid completing xrays patient conducting analysis using medical machine entering result medical test computer potential job title use solutionare radiologic technician medical technologisttechnician laboratory technologist multiple configuration solution available
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,Pre-packaged Job Solutions,No,No,"C, P","The Technology Job Focused Assessment assesses  key behavioral attributes  required for success in fast-paced, rapidly evolving  technology environments , providing an indication of the candidate’s longer term potential. 

It is available as part of SHL’s Technology Hiring Solution.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",16,technology job focused assessment assesses key behavioral attribute required success fastpaced rapidly evolving technology environment providing indication candidate longer term potential available part shls technology hiring solution,Technology Professional 8.0 Job Focused Assessment. technology job focused assessment assesses key behavioral attribute required success fastpaced rapidly evolving technology environment providing indication candidate longer term potential available part shls technology hiring solution
Telenurse Solution,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Telenurse solution is for positions in a healthcare environment that interact with patients over the telephone.  Sample tasks for this job include, but are not limited to: accurately understanding patient's symptoms via the telephone, systematically working through patient symptoms to arrive at the correct diagnosis, and recalling facts from the call for documentation.  Potential job titles that use this solution are: Telenurse, Telephone Nurse, or On Call Nurse.  Multiple configurations of this solution are available.","Mid-Professional,",68,telenurse solution position healthcare environment interact patient telephone sample task job include limited accurately understanding patient symptom via telephone systematically working patient symptom arrive correct diagnosis recalling fact call documentation potential job title use solution telenurse telephone nurse call nurse multiple configuration solution available,Telenurse Solution. telenurse solution position healthcare environment interact patient telephone sample task job include limited accurately understanding patient symptom via telephone systematically working patient symptom arrive correct diagnosis recalling fact call documentation potential job title use solution telenurse telephone nurse call nurse multiple configuration solution available
Teller 7.0,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/,Pre-packaged Job Solutions,No,Yes,"B, K, P, S","Teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the bank to its customers. The Teller Solution contains scales that measure a person’s ability to handle money, prevent transactional errors, promote quality customer service, and generate sales or referrals appropriately.","Entry-Level,",35,teller cashier position integral financial institution conduct numerous banking transaction day well face bank customer teller solution contains scale measure person ability handle money prevent transactional error promote quality customer service generate sale referral appropriately,Teller 7.0. teller cashier position integral financial institution conduct numerous banking transaction day well face bank customer teller solution contains scale measure person ability handle money prevent transactional error promote quality customer service generate sale referral appropriately
Teller with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/,Pre-packaged Job Solutions,No,No,"A, B, K, P, S","The Teller solution with Sales is for entry-level financial institution teller positions. Sample tasks for this job would include, but are not limited to: balancing currency, coin and checks, cashing checks and paying out money, entering customer transactions into computers, and suggestive selling after a customer service interaction.","Entry-Level,",35,teller solution sale entrylevel financial institution teller position sample task job would include limited balancing currency coin check cashing check paying money entering customer transaction computer suggestive selling customer service interaction,Teller with Sales - Short Form. teller solution sale entrylevel financial institution teller position sample task job would include limited balancing currency coin check cashing check paying money entering customer transaction computer suggestive selling customer service interaction
Transcriptionist Solution,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, K, P","The Transcriptionist solution is for entry-level clerical roles in a healthcare environment that require employees to translate medical information.  Sample tasks for these jobs include, but are not limited to: transcribing dictated reports, deciphering medical jargon, and proofing medical reports.  Potential job titles that use this solution are: Medical Transcriptionist, Medical Transcriber, and Documentation Specialist.  Multiple configurations of this solution are available.","Entry-Level,",33,transcriptionist solution entrylevel clerical role healthcare environment require employee translate medical information sample task job include limited transcribing dictated report deciphering medical jargon proofing medical report potential job title use solution medical transcriptionist medical transcriber documentation specialist multiple configuration solution available,Transcriptionist Solution. transcriptionist solution entrylevel clerical role healthcare environment require employee translate medical information sample task job include limited transcribing dictated report deciphering medical jargon proofing medical report potential job title use solution medical transcriptionist medical transcriber documentation specialist multiple configuration solution available
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,Pre-packaged Job Solutions,No,No,B,"Our Workplace Safety - Individual 7.0 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. 
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.
Report Language Availability: English (USA), Latin American Spanish.","Entry-Level,",16,workplace safety individual solution designed entrylevel position measure behavior experience underlie successful safe performance individuallyoriented role work environment solution assesses behavior competency foundational safety across wide range job including following policy procedure wearing required protective equipment safely operating vehicle andor machinery taking action unsafe situation producing high quality work industry environment entrylevel position use solution warehouse healthcare delivery logistics food handling preparation assembly installation transportation manufacturing processing construction driver oil gas mining report language availability english usa latin american spanish,Workplace Safety - Individual 7.0 Solution. workplace safety individual solution designed entrylevel position measure behavior experience underlie successful safe performance individuallyoriented role work environment solution assesses behavior competency foundational safety across wide range job including following policy procedure wearing required protective equipment safely operating vehicle andor machinery taking action unsafe situation producing high quality work industry environment entrylevel position use solution warehouse healthcare delivery logistics food handling preparation assembly installation transportation manufacturing processing construction driver oil gas mining report language availability english usa latin american spanish
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,Pre-packaged Job Solutions,No,No,B,"Our Workplace Safety - Individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. 
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Entry-Level,",16,workplace safety individual solution designed entrylevel position measure behavior experience underlie successful safe performance individuallyoriented role work environment solution assesses behavior competency foundational safety across wide range job including following policy procedure wearing required protective equipment safely operating vehicle andor machinery taking action unsafe situation producing high quality work industry environment entrylevel position use solution warehouse healthcare delivery logistics food handling preparation assembly installation transportation manufacturing processing construction driver oil gas mining,Workplace Safety - Individual 7.1 (Americas). workplace safety individual solution designed entrylevel position measure behavior experience underlie successful safe performance individuallyoriented role work environment solution assesses behavior competency foundational safety across wide range job including following policy procedure wearing required protective equipment safely operating vehicle andor machinery taking action unsafe situation producing high quality work industry environment entrylevel position use solution warehouse healthcare delivery logistics food handling preparation assembly installation transportation manufacturing processing construction driver oil gas mining
Workplace Safety - Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/,Pre-packaged Job Solutions,No,No,B,"The Workplace Safety – Team 7.0 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.
Report Language Availability: English (USA), Latin American Spanish.","Director,",20,workplace safety team solution designed entrylevel position measure competency experience underlie successful safe performance team based work environment solution predicts following type behavior competency foundational safety across wide range job wearing required protective equipment working hard responsibly safely moving equipment freight material working communicating effectively others taking action unsafe situation occur following policy procedure industry environment entrylevel position use solution warehouse healthcare delivery logistics food handling preparation assembly installation transportation manufacturing processing construction driver oil gas mining report language availability english usa latin american spanish,Workplace Safety - Team 7.0 Solution. workplace safety team solution designed entrylevel position measure competency experience underlie successful safe performance team based work environment solution predicts following type behavior competency foundational safety across wide range job wearing required protective equipment working hard responsibly safely moving equipment freight material working communicating effectively others taking action unsafe situation occur following policy procedure industry environment entrylevel position use solution warehouse healthcare delivery logistics food handling preparation assembly installation transportation manufacturing processing construction driver oil gas mining report language availability english usa latin american spanish
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,Pre-packaged Job Solutions,No,No,"B, C, P","The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Entry-Level, General Population, Professional Individual Contributor,",20,workplace safety team solution designed entrylevel position measure competency experience underlie successful safe performance team based work environment solution predicts following type behavior competency foundational safety across wide range job wearing required protective equipment working hard responsibly safely moving equipment freight material working communicating effectively others taking action unsafe situation occur following policy procedure industry environment entrylevel position use solution warehouse healthcare delivery logistics food handling preparation assembly installation transportation manufacturing processing construction driver oil gas mining,Workplace Safety - Team 7.1 (Americas). workplace safety team solution designed entrylevel position measure competency experience underlie successful safe performance team based work environment solution predicts following type behavior competency foundational safety across wide range job wearing required protective equipment working hard responsibly safely moving equipment freight material working communicating effectively others taking action unsafe situation occur following policy procedure industry environment entrylevel position use solution warehouse healthcare delivery logistics food handling preparation assembly installation transportation manufacturing processing construction driver oil gas mining
Workplace Safety - Team 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/,Pre-packaged Job Solutions,No,No,"B, C, P","The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Entry-Level, General Population, Professional Individual Contributor,",20,workplace safety team solution designed entrylevel position measure competency experience underlie successful safe performance team based work environment solution predicts following type behavior competency foundational safety across wide range job wearing required protective equipment working hard responsibly safely moving equipment freight material working communicating effectively others taking action unsafe situation occur following policy procedure industry environment entrylevel position use solution warehouse healthcare delivery logistics food handling preparation assembly installation transportation manufacturing processing construction driver oil gas mining,Workplace Safety - Team 7.1 (International). workplace safety team solution designed entrylevel position measure competency experience underlie successful safe performance team based work environment solution predicts following type behavior competency foundational safety across wide range job wearing required protective equipment working hard responsibly safely moving equipment freight material working communicating effectively others taking action unsafe situation occur following policy procedure industry environment entrylevel position use solution warehouse healthcare delivery logistics food handling preparation assembly installation transportation manufacturing processing construction driver oil gas mining
Workplace Safety Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,Pre-packaged Job Solutions,No,Yes,"B, P","The Workplace Safety Solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in the workplace. This solution measures one’s general tendency to behave safely in the workplace using a variety of assessment types including personality traits, safety-related situational judgment, and biodata. Potential job titles that use this solution are: Material Handler, Shipping Operator, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.","Entry-Level,",21,workplace safety solution designed entrylevel position measure competency experience underlie successful safe performance workplace solution measure one general tendency behave safely workplace using variety assessment type including personality trait safetyrelated situational judgment biodata potential job title use solution material handler shipping operator driver forklift operator crewman mechanic receiver,Workplace Safety Solution. workplace safety solution designed entrylevel position measure competency experience underlie successful safe performance workplace solution measure one general tendency behave safely workplace using variety assessment type including personality trait safetyrelated situational judgment biodata potential job title use solution material handler shipping operator driver forklift operator crewman mechanic receiver
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Individual Test Solutions,No,Yes,"C, P, A, B","The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.","Mid-Professional,",49,account manager solution assessment used job candidate applying midlevel leadership position tend manage daytoday operation activity client account sample task job include limited communicating client project status developing maintaining project plan coordinating internally appropriate project personnel ensuring client expectation met potential job title use solution account executive account manager senior account manager multiple configuration solution available,Account Manager Solution. account manager solution assessment used job candidate applying midlevel leadership position tend manage daytoday operation activity client account sample task job include limited communicating client project status developing maintaining project plan coordinating internally appropriate project personnel ensuring client expectation met potential job title use solution account executive account manager senior account manager multiple configuration solution available
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Individual Test Solutions,No,Yes,"A, K, P","The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","Entry-Level,",36,administrative professional solution entry midlevel position involve routine clerical administrative function addition office management function customer service sample task job include limited arranging conference call drafting correspondence scheduling meeting greeting visitor coordinating office activity potential job title use solution administrative assistant secretary office manager administrative aide administrative associate,Administrative Professional - Short Form. administrative professional solution entry midlevel position involve routine clerical administrative function addition office management function customer service sample task job include limited arranging conference call drafting correspondence scheduling meeting greeting visitor coordinating office activity potential job title use solution administrative assistant secretary office manager administrative aide administrative associate
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Individual Test Solutions,No,Yes,"A, B, P, S","The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,",51,agency manager solution midlevel sale management position include front line management sale responsibility sample task job include limited directing coordinating financial activity worker branch office department establishment branch bank brokerage firm risk insurance department credit department potential job title use solution agency manager brokerage manager multiple configuration solution available,Agency Manager Solution. agency manager solution midlevel sale management position include front line management sale responsibility sample task job include limited directing coordinating financial activity worker branch office department establishment branch bank brokerage firm risk insurance department credit department potential job title use solution agency manager brokerage manager multiple configuration solution available
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Individual Test Solutions,No,No,"B, P","The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.","General Population, Graduate, Entry-Level,",30,apprentice jobfocused assessment short targeted globally applicable assessment includes short cognitive ability measure assessment designed entrylevel position appropriate country industry use apprenticeship model intended used multinationally organisation whose business span across region,Apprentice + 8.0 Job Focused Assessment. apprentice jobfocused assessment short targeted globally applicable assessment includes short cognitive ability measure assessment designed entrylevel position appropriate country industry use apprenticeship model intended used multinationally organisation whose business span across region
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Individual Test Solutions,No,No,"B, P","The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.","Entry-Level, General Population, Graduate,",20,apprentice jobfocused assessment short targeted globally applicable assessment assessment designed entrylevel position appropriate country industry use apprenticeship model intended used multinationally organization whose business span across region,Apprentice 8.0 Job Focused Assessment. apprentice jobfocused assessment short targeted globally applicable assessment assessment designed entrylevel position appropriate country industry use apprenticeship model intended used multinationally organization whose business span across region
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Individual Test Solutions,No,No,"A, B, K, P","The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.","Entry-Level,",35,administrative assistant solution entrylevel clerical position interact external internal customer sample task job include limited answering telephone managing file record sorting mail greeting customer collaborating coworkers project potential job title use solution receptionist administrative assistant multiple configuration solution available,Bank Administrative Assistant - Short Form. administrative assistant solution entrylevel clerical position interact external internal customer sample task job include limited answering telephone managing file record sorting mail greeting customer collaborating coworkers project potential job title use solution receptionist administrative assistant multiple configuration solution available
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Individual Test Solutions,No,No,"A, B, P","This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.","Entry-Level,",45,solution entrylevel collection position inbound outbound call center environment financial setting candidate answer multiple choice question measure achievement orientation dependability collector numerical skill revenue recovery customer focus persistence planfulness multiple configuration version solution available,Bank Collections Agent - Short Form. solution entrylevel collection position inbound outbound call center environment financial setting candidate answer multiple choice question measure achievement orientation dependability collector numerical skill revenue recovery customer focus persistence planfulness multiple configuration version solution available
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Individual Test Solutions,No,Yes,"A, B, P, S","The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,",45,bank operation supervisor solution job candidate applying entrylevel leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning employee specific duty coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate prioritizing multiple task priority making daytoday decision minimal guidance others potential job title use solution team leader first line supervisor processing supervisor call center supervisor customer service supervisor multiple configuration version solution available,Bank Operations Supervisor - Short Form. bank operation supervisor solution job candidate applying entrylevel leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning employee specific duty coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate prioritizing multiple task priority making daytoday decision minimal guidance others potential job title use solution team leader first line supervisor processing supervisor call center supervisor customer service supervisor multiple configuration version solution available
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Individual Test Solutions,No,Yes,"B, P, S, A","The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.","Entry-Level,",43,bilingual reservation agent solution designed customer centered entrylevel position within hospitality industry sample task may include making updating canceling hotel reservation made english spanish listening customer speak spanish entering information computer english providing information hotel service offered potential job title use solution bilingual reservation agent customer service representative reservationist multiple configuration solution available,Bilingual Spanish Reservation Agent Solution. bilingual reservation agent solution designed customer centered entrylevel position within hospitality industry sample task may include making updating canceling hotel reservation made english spanish listening customer speak spanish entering information computer english providing information hotel service offered potential job title use solution bilingual reservation agent customer service representative reservationist multiple configuration solution available
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Individual Test Solutions,No,Yes,"P, S, K, B, A","The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.","Entry-Level,",49,bookkeeping accounting auditing clerk solution entrylevel position involve entering numerical data computer system maintaining financial record sample task job include limited entering financial data computer checking financial record accuracy perform routine computation financial data potential job title use solution accounting clerk bookkeeper accounting associate auditing clerk account receivable clerk,"Bookkeeping, Accounting, Auditing Clerk Short Form. bookkeeping accounting auditing clerk solution entrylevel position involve entering numerical data computer system maintaining financial record sample task job include limited entering financial data computer checking financial record accuracy perform routine computation financial data potential job title use solution accounting clerk bookkeeper accounting associate auditing clerk account receivable clerk"
